file,test_case,expected,category,predicted,confidence,correct,test_number
test24-1216I6W-hard.jpg,test24,1216I6W,hard,121616W,0.7110800935078729,0,24
test25-BLKSOK1-hard.jpg,test25,BLKSOK1,hard,BLK50X1,0.9532965651111301,0,25
test26-OPTAMUZ-hard.jpg,test26,OPTAMUZ,hard,02TA0F,0.5662343848987303,0,26
test28-28065H4-hard.jpg,test28,28065H4,hard,28065H4,0.9996174422260755,1,28
test40-AG998-hard.jpg,test40,AG998,hard,AG998,0.9996519850542352,1,40
test42-JETS73-hard.jpg,test42,JETS73,hard,JETS73,0.9998664938659146,1,42
test45-JBBB81-hard.jpg,test45,JBBB81,hard,JBBB81,0.9989588025892107,1,45
test50-7JZK433-hard.jpg,test50,7JZK433,hard,7JZK433,0.999909558266171,1,50
test59-KA7436-hard.jpg,test59,KA7436,hard,KA7436,0.91515477351058,1,59
test61-WDJ36L-hard.jpg,test61,WDJ36L,hard,WDJ36L,0.9997507014983011,1,61
test62-CLS009-hard.jpg,test62,CLS009,hard,CVB534,0.9994308004142182,0,62
test63-CVB534-hard.jpg,test63,CVB534,hard,CVB534,0.9994308004142182,1,63
test66-34BSS-hard.jpg,test66,34BSS,hard,34AS5,0.8707819379218749,0,66
test68-BATMAN-hard.jpg,test68,BATMAN,hard,BATMAN,0.9936194526867436,1,68
test69-DA7222-hard.jpg,test69,DA7222,hard,QW7222,0.9795198564030397,0,69
test71-C0V1D-hard.jpg,test71,C0V1D,hard,COV1D,0.9237812859048993,0,71
test72-HERLOSS-hard.jpg,test72,HERLOSS,hard,AERLOSS,0.9082010860945134,0,72
test8-S5239C-medium.jpg,test8,S5239C,medium,S5239C,0.9997707172243403,1,8
test9-1FINEDY-medium.jpg,test9,1FINEDY,medium,1FINEDY,0.9763931955740359,1,9
test11-ELEKTRK-medium.jpg,test11,ELEKTRK,medium,ELEKTRR,0.9913970407616094,0,11
test14-8C00CHY-medium.jpg,test14,8C00CHY,medium,8C00CHY,0.9873736744053935,1,14
test15-BCK7900-medium.jpg,test15,BCK7900,medium,BCK7900,0.9998401870277056,1,15
test16-8WXI716-medium.jpg,test16,8WXI716,medium,8WX716,0.9988787333562581,0,16
test17-CTX7536-medium.jpg,test17,CTX7536,medium,CTX7536,0.9997282979459675,1,17
test22-FA1LURE-medium.jpg,test22,FA1LURE,medium,FA1LURE,0.9954968288394972,1,22
test23-HELLOYOU-medium.jpg,test23,HELLOYOU,medium,HELLOYOU,0.9730824045032773,1,23
test27-MANUP-medium.jpg,test27,MANUP,medium,MANUP,0.9817947205923809,1,27
test35-CEARTH1-medium.jpg,test35,CEARTH1,medium,CEARTH1,0.9995392076661749,1,35
test36-IH8422-medium.jpg,test36,IH8422,medium,IH8422,0.9994988066728532,1,36
test39-BMW4FL-medium.jpg,test39,BMW4FL,medium,BMW4FL,0.9999409748423005,1,39
test41-DPV4680-medium.jpg,test41,DPV4680,medium,DPV4680,0.9997473288484138,1,41
test43-NYP916-medium.jpg,test43,NYP916,medium,NYP916,0.9999819754301316,1,43
test44-00638-medium.JPG,test44,00638,medium,00638,0.992088804163984,1,44
test49-BETANOT-medium.jpg,test49,BETANOT,medium,BETANOT,0.8976619422183394,1,49
test51-A697HNB-medium.jpg,test51,A697HNB,medium,A697HNB,0.9998941907917804,1,51
test53-VANDAMN-medium.jpg,test53,VANDAMN,medium,VANDAMN,0.9697324366901156,1,53
test55-SM11HTC-medium.jpg,test55,SM11HTC,medium,B137012,0.9969955242414947,0,55
test58-GPG-medium.jpg,test58,GPG,medium,GPGG,0.9015277663588476,0,58
test60-9-medium.jpg,test60,9,medium,9,0.8799822728372513,1,60
test64-YJX4976-medium.jpg,test64,YJX4976,medium,YJX4976,0.9991204273974215,1,64
test65-516AHQ-medium.jpg,test65,516AHQ,medium,516AHQ,0.9948169328418435,1,65
test67-3SAM123-medium.jpg,test67,3SAM123,medium,3SAM123,0.9998001314883715,1,67
test70-RRRRUN-medium.jpg,test70,RRRRUN,medium,RRRRUN,0.9998866711367288,1,70
test73-ASPACE-medium.jpg,test73,ASPACE,medium,ASPACE,0.9998829424129212,1,73
test74-UM96201-medium.jpg,test74,UM96201,medium,UM96201,0.9997814152036618,1,74
test75-YL08WUE-medium.jpg,test75,YL08WUE,medium,YL08WUE,0.999953936445417,1,75
test76-VY90540-medium.jpg,test76,VY90540,medium,VY90540,0.9999118925670185,1,76
